id,month,day,hour,latitude,longitude,sea_surface_temp
5018391,2,1,6.33,35.31,-55.6,19.3
12247725,9,8,10,51.4,-7.9,
167786,12,6,19,66.3,-18.2,
5868801,12,27,10.5,-43.97,-162.13,13.2
2563844,1,18,0.82,5.96,-138.52,26.4
3621995,2,19,4,49.2,-61.3,
1399570,4,13,9,34.5,-72.6,19.1
11851077,3,26,15,23.1,-31.4,22.7
18921101,5,28,20.57,43.59,-41.44,16
10089849,7,3,2.2,-31.39,153.05,21
13564177,11,17,20.17,41.86,-80.97,
15678005,6,20,18,31.42,-81.3,
18092173,1,2,13,58.7,1.4,
4488831,4,15,23,58,1.4,
1989046,1,31,15.83,-26.08,-105.33,25
573450,3,18,19.83,56.3,-148,
12994651,5,30,10,43.05,-87.88,
17740566,12,22,6,41.4,-71.03,
15362387,10,11,4,60.8,-61.4,
5771612,7,24,18.55,20,-158.4,25
15725574,1,22,17.57,-14.99,-11.12,24.1
7956372,1,29,20,26.65,-81.87,22
5266980,2,8,16.67,-4.5,98.82,28.8
12769822,6,23,10,38.08,-24.24,20.2
1964329,3,30,1.33,45.55,-163.09,7.2
16264449,7,8,10,26.13,-81.81,29.2
18599950,2,18,16,39.27,-76.58,5.7
19392201,3,11,23,42.36,-71.05,5.4
13584187,11,18,16.83,24.01,-61.28,27
18002530,8,30,4.52,7.92,-26.41,27.2
13521677,5,16,13.47,17.41,158.84,27.9
12519567,7,16,16.88,-4.8,-159.13,28.6
10007648,12,31,23,56.4,2.1,
12422757,12,13,16,4.15,-37.89,
798073,7,25,15,43.8,-87.7,
5317521,12,10,14,7.94,-38.03,
17477569,3,14,16,27.98,-82.83,22.5
1076964,7,3,18.5,-16.26,101.89,
18078873,4,2,18.83,57.9,-154.3,
18324733,2,9,21.33,18.3,-64.8,
3169017,12,5,9,27.3,-97.41,
11356654,1,11,4.02,44.5,-63.4,5.3
14934282,5,28,3,41.75,-124.18,9.4
8405794,3,13,2,-35.48,74.26,20.1
16803151,5,24,8,44.8,-6.9,14.9
19041830,6,1,4.73,35.14,-173.86,19
4990000,8,31,7.6,26.6,-72.97,29.4
501579,11,16,8.5,29.59,-24.41,22.9
2567560,10,18,19.2,16.05,141.76,28.8
12133013,7,4,23,42.77,-86.2,
11935930,6,29,15,49.9,-125,15.5
8177866,6,6,0,5.02,-170.03,27.8
9963783,8,29,5.83,43.5,-70.2,17.1
3811287,3,25,16,1.99,138.09,29.2
16765969,7,23,11.83,19.8,-84.9,28.8
8519602,9,16,0.5,29.1,-88.1,
10623760,12,19,4,52.2,3.9,8.2
7278014,1,9,21.82,-10.1,-15.89,24.5
1398699,12,13,13,17.57,-82.27,27.9
12832484,7,25,21,42.4,-82.7,24.4
16962594,4,29,22,18.5,-66.1,26.5
7670337,2,21,16.15,23.7,-55.66,24.2
3682676,1,21,10.5,61.1,-146.7,
6143394,2,5,17.67,29.39,165.85,17.9
12357314,2,11,0.17,-34.09,77.82,21.2
18053091,8,1,23,54.91,-47.35,11.2
10407954,2,12,6,35.1,130.4,14.7
8699156,6,21,0,-53.7,-77.1,
10137755,6,4,4,-0.06,-170.09,28.2
7338901,9,11,17.62,36.92,124.87,25.5
4036671,5,1,17,-25.28,-44.93,25.2
15870646,2,26,11,54,8.1,3.8
1107002,9,4,13.95,10.13,153.28,30.2
7723995,10,22,20.67,-18.26,-25.6,23.2
8830661,2,25,1,37.8,-122.33,
3471589,10,15,23,2.07,146.96,29.5
10306484,12,9,23,41.58,-70.53,
19660835,4,20,1.92,-34.54,-138.07,19.3
13728407,9,22,11,-13.54,-32.61,25
14818597,10,25,5,45.91,-49.55,13.1
2771319,3,24,0.72,20.8,-157,25.2
13508982,8,15,16,29.77,-93.34,30.5
6165086,8,5,8,42.36,-71.05,19.1
1496167,5,16,4.12,6.03,-144.18,27.1
13954700,5,29,20.43,33.6,-118.3,18.6
17426418,3,13,13.95,64.28,-9.28,5.2
8539541,8,17,21.08,43.51,-50.21,20.2
3209623,12,7,2.9,-6.17,178.11,30.1
3209773,9,7,17,35.92,-46.44,26.4
17433285,4,13,17.83,33.7,-120.2,11.8
4448846,2,14,7,55.06,-162.33,
16252711,11,7,11,56.4,2,
19092343,6,2,16,57.3,2,
9631161,8,19,16,45.29,-86.98,
12630559,1,19,12,46.55,-87.38,
14094681,3,3,2,1.96,130.17,29.7
8447758,4,14,20,59.55,-139.73,5.1
19148317,3,4,15.83,44.63,-6.84,12.5
16930816,3,28,0,-64.7,-60.6,-1.6
7544051,7,17,3.5,-20.4,-127.17,
6593103,12,18,2,34.41,-119.69,
6411234,6,13,10.83,-35.03,-109.34,16.9
4366402,4,11,20,44.4,-37.6,13.7
12498390,11,15,22,-37.5,-38.4,
13517676,3,16,18.5,-49.83,104.28,6.2
4565494,6,18,22.5,28.2,-89.2,
7515711,12,16,17,17.9,-66.5,27.9
8443523,9,14,17.75,63.66,-14.56,10.5
1238523,1,8,13.78,32.45,-75,21.2
3499863,5,16,18.62,-15.76,-125.71,27
15890010,9,27,20.83,-5.78,-92.97,22.7
4317101,12,10,14,-12.02,93.07,
12155171,12,5,6.83,-32.28,-108.39,18.8
9831735,3,25,15,30.67,-81.47,21.7
18762542,7,23,1.83,24.3,-162,
10235112,8,7,10.33,39.2,-76.4,
1851487,6,26,19,52.3,-54.1,
5152975,1,5,13.07,42.5,-70.6,7.5
14463395,10,14,6,42.2,3.5,
3934510,2,29,6,33.7,-59.6,19.1
19211966,12,6,16.83,38.6,-76.4,
17211932,10,6,4,30.35,-89.09,
5516986,9,16,23.5,28.64,-96.6,25.4
15453590,7,14,2.5,-26.64,49.6,22.2
13530663,10,16,11.97,45.2,-87.12,
9529702,7,16,5,1.98,-154.98,28.4
3270283,11,9,15,63.33,-176.86,1.8
3020004,1,1,1.77,-33.92,-130.29,22.3
3941007,3,29,22.17,46.09,-155.77,5.4
8457990,1,14,23,33.7,-120.2,13.5
223850,11,7,10,46.4,-53.4,10.4
12827627,8,25,9.55,30.75,149.19,28.2
2966229,5,30,16.67,37.8,-122.6,11.9
16358254,3,11,19,64.1,-22.9,
15654602,4,20,7,-27,-71.4,
16590868,8,18,3.28,36.33,-43.95,26.4
16583656,9,17,13,39.21,-76.25,22.9
19369696,12,11,5.42,21.7,-158.1,24.9
15652555,8,20,12.67,-14.61,65.85,
2979052,10,30,8,28.12,-97.02,
13314597,5,9,10.5,-25.72,0.31,21.6
15713738,8,21,10,54.6,-5.9,
19700853,9,21,22,44.7,-75.5,
9238666,8,7,7.83,37.4,-122.9,
15537719,8,16,1,17.78,-64.76,28.9
16582469,3,17,0,5.7,107,28
11209108,11,6,22,-41.91,120.81,12.2
16937870,4,28,4,53.5,2.7,
8250231,5,8,21.5,-58.33,-53.79,1.6
2604841,10,19,4,-14.41,116.78,28.9
2655165,9,20,22.67,37.6,-76.3,
11054214,9,2,19.55,31.66,178.89,26.2
1821069,7,25,2.83,44.3,-82.4,22.7
16415750,1,12,0,26.3,53,22.4
12459501,11,14,14,51.4,-7.9,
780552,11,24,2.05,22.16,151.95,27.7
6587258,6,18,22.83,22.2,-94,
9780166,7,24,15.55,-14.54,-25.04,24.5
5728929,9,22,1.5,40.9,-73.7,22
5982958,11,30,0,51.19,-135.27,8.8
11073706,3,2,8,32.4,-119.5,12.8
12374328,8,11,14.5,46.2,-124.1,
4583986,8,18,23,58.4,0.3,
18973974,4,29,21,37,0.6,14.6
7570502,3,18,15.57,12,128.96,28.1
77795,6,3,1.83,59.7,-143.4,
2436888,3,14,10.2,-44.03,-12.79,11.7
16435800,2,13,23.92,17.41,123.63,27.3
11599591,12,18,10.08,-25.63,153.4,26.3
14560057,7,17,5.62,39.26,-32.18,22.3
9180064,3,6,7,-0.1,-101.1,28.5
19051811,9,1,13.02,34.18,-71.86,27.3
3081235,7,3,10,-16.58,158.02,27.2
17369146,5,11,6,53.9,-160.8,5.4
15925904,7,28,15.98,-17.76,121.55,23.3
4018477,5,1,15.58,36.38,-62.59,19.5
5436356,11,14,14,22.25,-35.98,25.4
15635574,12,19,15,39.62,-42.57,19.3
13994945,8,30,7,31.3,-31.1,27
11883143,11,27,12,27.58,-97.22,
1911393,2,28,9.17,-27.14,-129.93,25.1
15287420,5,9,1,-48.63,114.87,
6790518,7,24,1,26.7,-90.5,30.7
9227113,5,7,22.87,46.76,-84.97,
3546376,2,17,0.67,-47.51,21.83,6.9
1524610,12,16,4,50.9,1.4,10.9
16363909,11,11,21.38,-17.21,104.66,26.3
3499603,12,16,9,26.7,-90.5,
5614227,10,19,23.67,46.9,-91.9,6.8
18513439,9,15,22,49.2,-64.8,12.7
14015918,5,31,12.2,28.85,-147.25,22
3262176,7,8,11,-8.01,-170.05,
19987936,11,30,18.67,-26.07,-39.88,24.7
18560210,8,17,12,49.3,-126.3,13
6098270,10,3,16,45.1,-87.59,
9894544,4,27,23,59.7,-143.4,7.4
16431701,3,13,12,28.4,-80.5,21.6
13860096,2,26,14,53.5,-3,
14090388,11,3,1.33,-30.84,86.76,18.5
6794953,12,24,6,38,-122.98,12.6
14415701,3,12,0,26.4,-88.7,26
12548229,8,17,2.67,79.69,22.32,3.8
18536588,9,16,9.38,-35.56,136.18,15.2
3467771,11,15,10,59.6,-151.42,
14821336,4,25,1,64.1,-22.9,
6904272,5,28,18.33,-26.1,-106.67,22.2
18005562,7,30,23.53,41,-71.1,23.5
19397041,9,12,21.29,43.38,-125.23,14.2
6135298,12,4,19.33,82,-126.16,
10058954,6,2,3,28.43,-82.67,
12292847,3,9,11.83,-72.6,-154.25,
19888557,9,27,17,29.69,-93.84,28
19660363,4,20,9.57,5.94,-118.48,28.2
11951310,4,29,0,36.8,-122.5,12.5
18955852,6,29,11,-33.84,88.42,17.6
1038587,7,2,22.28,15.76,133.96,29.4
18448467,6,13,18.17,-41.37,-114,
13925281,9,28,0.22,20.8,-157,25.6
14972998,2,29,10.08,30.2,-88.1,
3242398,12,8,13.15,47.59,-18.38,12.7
7911152,11,28,20.83,44.3,-82.4,7.4
6329665,3,10,13,28.42,-80.59,22.1
13657372,2,20,16,43.23,-86.34,
8530756,1,16,19,17.5,-152.4,
5117498,3,4,10.53,47.92,-125.17,8.3
19464844,5,14,10,-29.07,-29.4,22.5
12039818,4,1,18.47,13.92,-179.99,26.3
14688807,4,21,11,5.09,-124.94,27.6
13464339,5,14,7,46.5,-84.37,
19012971,10,31,13.67,-15.06,58.75,25.2
1006776,9,1,21.13,39.41,-48.91,26.1
18503730,5,15,1,38.03,-122.13,
15586133,11,18,5.83,26.16,-37.97,24.8
8189846,2,6,3,29.44,-92.06,
8456141,8,14,9,60.8,1.7,
14834580,11,25,16.32,31.34,-121.81,17.2
201859,2,7,6.75,36.28,-151.73,15.3
6259227,4,8,20.17,-48.48,86.82,
18828555,12,25,19.73,37.56,-162.51,14.9
19162328,8,4,0,36.5,-2.7,25.5
11434621,11,13,22,-35.9,122.2,16.5
1024912,10,1,21.83,17.5,-152.4,25.7
3410175,8,13,14.27,19.8,-155,25.3
11750324,10,23,7,-27.08,107.32,20.7
5444710,12,14,21.03,24.73,-67.35,25.5
14727575,4,22,20.65,47.8,-122.4,
16279146,1,8,16.67,14.81,-19.88,23.7
11282122,11,9,3.53,47.38,-34.33,15
6390282,10,12,22,62.94,-40.8,3.2
