,id,month,day,hour,latitude,longitude,sea_surface_temp
3625,18323010,1,9,2.0,46.6,-4.7,13.8
6477,9304652,1,9,3.0,58.3,-134.41,19.248426150121063
6350,7295984,1,9,3.57,46.1,-124.7,9.6
7501,13301939,1,9,4.05,30.47,159.76,20.6
7039,7282395,1,9,4.8,-58.11,-43.43,1.7
6067,13287275,1,9,7.25,27.89,-63.62,22.6
9780,6272013,1,9,8.0,44.5,-63.0,19.248426150121063
8973,8277126,1,9,8.67,48.29,-4.97,12.3
5569,13294402,1,9,10.4,18.66,132.11,26.8
2451,11279853,1,9,10.97,-19.06,-37.32,26.9
3760,3297837,1,9,11.0,30.23,-88.98,19.248426150121063
5809,9298607,1,9,11.0,-47.23,84.41,11.2
1,11278051,1,9,11.48,50.0,-145.1,6.5
6722,17298805,1,9,12.07,53.8,-24.36,9.4
1486,19327133,1,9,13.5,-29.02,66.52,23.8
9894,17300602,1,9,15.17,39.2,-76.4,19.248426150121063
2288,19309037,1,9,16.0,21.95,-159.36,25.3
2464,10283896,1,9,16.0,46.1,-45.6,19.248426150121063
6938,9302585,1,9,16.33,-39.18,137.64,16.8
1844,6290475,1,9,18.0,-16.3,-19.6,24.0
2489,7299750,1,9,18.0,49.9,-0.6,19.248426150121063
7581,12311290,1,9,18.83,30.0,-80.5,19.248426150121063
1812,9282022,1,9,19.0,60.02,-28.55,7.7
3996,11279203,1,9,21.0,41.05,-71.96,6.2
422,7278014,1,9,21.82,-10.1,-15.89,24.5
9548,18302306,1,9,21.83,-48.01,107.73,7.6
5888,15301004,1,9,22.87,36.9,-75.7,9.6
2564,10286744,1,9,23.0,-12.04,54.99,19.248426150121063
3101,12311565,1,9,23.0,43.3,-10.0,13.0
5824,8308101,1,10,0.67,37.3,174.62,13.4
7941,15330039,1,10,0.97,-35.12,-39.22,20.7
351,4315523,1,10,1.0,61.1,1.7,19.248426150121063
3827,19344961,1,10,2.0,36.9,-75.7,19.248426150121063
744,8309767,1,10,3.0,34.11,-43.7,19.3
1197,3327174,1,10,3.0,43.05,-87.88,19.248426150121063
5969,7324673,1,10,5.0,42.9,9.5,13.9
9220,2300159,1,10,5.5,19.91,124.87,26.8
1514,6333056,1,10,6.0,-31.7,-43.6,19.248426150121063
7300,3324654,1,10,6.0,48.1,-123.4,7.9
8654,19347393,1,10,6.0,18.5,-66.1,27.0
2345,18332944,1,10,6.35,43.8,-124.6,9.5
6624,9308299,1,10,6.67,-28.23,-118.74,23.8
6090,299045,1,10,8.1,-7.27,-160.68,27.9
4542,4303008,1,10,10.17,35.17,-21.17,18.2
9821,9328152,1,10,11.27,3.93,-139.04,26.2
7071,3305967,1,10,11.83,-29.8,-151.97,22.7
7019,317595,1,10,12.0,46.3,-72.5,19.248426150121063
9258,7316224,1,10,12.0,-49.37,80.85,6.3
1668,7314289,1,10,12.33,-43.85,-2.59,10.6
862,13338247,1,10,13.0,42.36,-87.81,19.248426150121063
3995,8324576,1,10,13.0,47.7,-124.5,19.248426150121063
4501,2316558,1,10,13.33,46.41,-172.42,6.1
1043,3329685,1,10,13.83,53.9,-160.8,19.248426150121063
7840,10316921,1,10,16.83,23.5,-73.08,25.6
4657,3303778,1,10,18.0,-44.69,88.54,11.7
5761,5332642,1,10,18.0,39.81,-75.41,4.2
3423,15339549,1,10,19.0,29.87,-89.67,16.6
5095,7338525,1,10,20.0,49.0,-66.9,19.248426150121063
8163,9330221,1,10,23.83,17.1,-157.8,24.4
100,9371955,1,11,1.0,38.6,-76.4,5.8
5585,5365703,1,11,1.0,45.9,-62.9,1.6
5887,15384970,1,11,1.0,38.06,-122.04,10.0
8140,4353674,1,11,1.0,-29.69,162.01,22.8
5233,13379407,1,11,2.0,32.78,-79.93,13.1
3429,19385690,1,11,2.1,37.91,-122.37,19.248426150121063
622,8352497,1,11,2.33,30.23,-28.8,21.0
4350,9362447,1,11,2.83,-27.44,-100.89,23.0
4636,3339661,1,11,3.0,76.93,-4.3,0.6
406,11356654,1,11,4.02,44.5,-63.4,5.3
1924,19378378,1,11,5.5,-36.01,-152.68,18.6
5994,9350346,1,11,5.92,15.32,-22.59,23.1
1840,15363503,1,11,7.0,-31.8,-29.81,22.6
780,17361885,1,11,7.95,34.8,153.28,19.0
5242,18362752,1,11,8.55,-25.9,-12.44,23.8
4368,2339332,1,11,10.23,-11.08,7.2,25.4
8898,19390647,1,11,10.67,-49.42,83.83,6.8
3857,5336321,1,11,11.5,40.76,-162.07,19.248426150121063
2656,13378965,1,11,12.0,15.0,-77.1,26.2
1834,5338185,1,11,15.3,37.9,-123.5,11.4
4252,19377135,1,11,17.33,-41.86,136.04,15.5
4349,338759,1,11,18.0,57.2,0.8,8.5
7985,9352943,1,11,19.0,38.2,-123.3,10.6
8120,13368572,1,11,20.0,-6.03,-10.0,25.4
7400,12348115,1,11,20.68,37.8,-122.6,11.3
3485,16387182,1,11,23.17,18.3,-64.8,19.248426150121063
518,16415750,1,12,0.0,26.3,53.0,22.4
