,id,month,day,hour,latitude,longitude,sea_surface_temp
9786,4836645,2,26,7.83,37.8,-62.7,19.3
1714,6323347,2,10,0.0,16.3,-62.6,26.4
540,4018477,5,1,15.58,36.38,-62.59,19.5
3394,17902699,7,27,10.62,27.44,-62.51,27.8
2856,9955005,7,29,5.0,44.37,-62.51,19.8
2918,9666214,8,20,18.0,19.6,-62.5,30.5
5166,11806083,6,25,13.27,33.5,-62.41,24.2
2098,5108928,3,4,12.5,34.86,-62.37,19.7
6866,10424660,5,13,21.67,-63.87,-62.28,24.183333333333334
3880,10321186,2,10,18.17,36.51,-62.21,20.1
3297,9178748,6,6,16.0,22.08,-62.19,27.7
1423,14883671,6,27,10.75,35.86,-62.18,22.9
827,14390145,10,12,18.0,44.5,-62.11,16.2
9116,11484858,5,15,22.33,-63.77,-62.06,22.9
9904,1082856,8,3,21.0,42.3,-62.0,24.8
627,13674266,2,20,3.0,47.4,-61.9,21.299999999999997
866,5082251,6,3,2.0,47.4,-61.9,23.0
1374,17343821,3,10,1.0,47.4,-61.9,21.7
4364,4197346,2,6,15.0,47.4,-61.9,22.380000000000003
8697,13804424,6,24,4.0,47.4,-61.9,23.69666666666667
1828,17126522,10,4,18.0,44.21,-61.88,17.7
1489,9897249,6,27,13.0,17.59,-61.82,28.2
6123,2725607,10,22,17.0,17.59,-61.82,29.2
7120,12143268,9,4,9.0,17.59,-61.82,28.8
8470,6684052,9,21,18.0,17.59,-61.82,30.4
9928,965066,8,30,14.0,17.59,-61.82,28.8
2894,9668912,5,20,18.0,17.1,-61.8,27.639999999999997
7953,5647086,5,20,9.0,17.1,-61.8,22.97333333333334
761,12921512,6,28,18.53,36.52,-61.75,23.2
9404,7721335,1,22,5.0,15.4,-61.7,27.0
7056,18243477,4,7,23.67,-62.55,-61.67,0.8
1568,19539519,9,16,21.87,35.52,-61.64,26.4
8516,17506226,11,15,10.0,58.4,-61.6,1.4
2822,250120,7,8,4.0,21.37,-61.53,28.5
6190,9868243,8,27,1.0,42.01,-61.52,23.4
1396,1877122,2,27,14.17,16.54,-61.41,26.2
5480,14099006,6,3,15.17,16.54,-61.41,27.7
7740,11945873,2,29,1.67,16.54,-61.41,26.1
9454,11603639,1,18,20.0,20.5,-61.4,25.7
1687,15992732,5,30,22.0,45.6,-61.4,26.5
6426,550778,7,17,6.0,45.6,-61.4,26.099999999999998
6788,16410163,7,12,10.0,45.6,-61.4,24.125
8312,8759131,12,23,12.0,45.6,-61.4,23.73125
383,15362387,10,11,4.0,60.8,-61.4,23.83125
9762,3196515,11,6,20.0,41.17,-61.3,18.2
370,3621995,2,19,4.0,49.2,-61.3,24.543750000000003
393,13584187,11,18,16.83,24.01,-61.28,27.0
3155,17155934,7,4,9.0,14.6,-61.2,28.2
886,13515702,1,16,18.67,14.89,-61.11,26.3
1316,9810306,6,25,23.67,14.89,-61.11,27.5
2664,474608,6,15,21.67,14.89,-61.11,27.1
3080,15621008,3,19,10.17,14.89,-61.11,25.3
4323,13200093,6,6,15.17,14.89,-61.11,27.0
4951,12711542,1,22,18.17,14.89,-61.11,26.1
4981,4208310,5,7,1.17,14.89,-61.11,26.3
5461,18788168,3,24,10.67,14.89,-61.11,25.6
6287,5947694,5,29,12.67,14.89,-61.11,26.6
6470,691307,2,22,18.17,14.89,-61.11,25.9
8029,18133453,2,4,4.17,14.89,-61.11,25.6
8802,5797908,1,25,16.67,14.89,-61.11,26.2
3296,16327680,5,10,20.17,14.55,-61.1,27.2
6961,13751693,8,23,17.08,35.08,-60.95,28.7
3955,2600954,12,19,17.77,14.18,-60.94,24.416666666666668
8960,11265732,7,8,12.0,44.53,-60.92,15.1
7256,4012969,1,1,7.08,35.21,-60.91,20.7
3033,10967388,6,30,13.0,20.87,-60.9,28.6
6464,1176258,1,6,4.33,20.99,-60.9,26.0
3105,10656946,7,20,12.0,49.1,-60.9,25.125
8037,6037754,12,1,13.0,83.53,-60.71,25.764999999999997
9614,13404482,11,12,22.67,29.83,-60.7,25.2
90,133102,6,5,12.67,-63.48,-60.68,20.798333333333336
2540,7749115,5,23,23.22,39.12,-60.67,23.9
463,16930816,3,28,0.0,-64.7,-60.6,-1.6
1238,9178449,4,6,12.83,19.72,-60.58,26.4
953,8627494,10,19,2.67,28.94,-60.56,26.8
5580,18917586,12,28,21.52,35.17,-60.56,20.6
879,19013924,5,31,11.78,35.74,-60.44,23.3
7032,11807527,4,25,7.67,-63.41,-60.41,0.2
6411,762707,12,24,12.18,34.71,-60.34,20.7
25,17558310,5,17,17.8,36.92,-60.28,19.4
1513,19931574,3,28,6.0,46.1,-60.2,13.433333333333332
9064,3299463,7,9,7.0,46.1,-60.2,17.84444444444444
6115,7327428,3,10,22.0,46.2,-60.2,16.89259259259259
6240,14113685,7,3,17.0,46.2,-60.2,18.642592592592592
